,title,created,type,price,available,sku
181,Zig-Zag No 225 T-Shirt,2019-12-23T15:29:15-05:00,Apparel,17.99,True,60253
182,Zig-Zag No 225 T-Shirt,2019-12-23T15:29:15-05:00,Apparel,17.99,True,60254
183,Zig-Zag No 225 T-Shirt,2019-12-23T15:29:15-05:00,Apparel,17.99,True,60255
184,Zig-Zag No 225 T-Shirt,2019-12-23T15:29:15-05:00,Apparel,17.99,True,60256
185,Zig-Zag No 225 T-Shirt,2019-12-23T15:29:15-05:00,Apparel,17.99,True,60257
186,Zig-Zag Logo Hoodie - Desert,2019-12-19T23:17:56-05:00,Apparel,44.99,True,60235
187,Zig-Zag Logo Hoodie - Desert,2019-12-19T23:17:56-05:00,Apparel,44.99,True,60236
188,Zig-Zag Logo Hoodie - Desert,2019-12-19T23:17:56-05:00,Apparel,44.99,True,60237
189,Zig-Zag Logo Hoodie - Desert,2019-12-19T23:17:56-05:00,Apparel,44.99,True,60238
190,Zig-Zag Logo Hoodie - Desert,2019-12-19T23:17:56-05:00,Apparel,44.99,True,60239
191,Zig-Zag Logo Hoodie - Black,2019-12-19T23:14:23-05:00,Apparel,44.99,True,60223
192,Zig-Zag Logo Hoodie - Black,2019-12-19T23:14:23-05:00,Apparel,44.99,True,60224
193,Zig-Zag Logo Hoodie - Black,2019-12-19T23:14:23-05:00,Apparel,44.99,True,60225
194,Zig-Zag Logo Hoodie - Black,2019-12-19T23:14:23-05:00,Apparel,44.99,True,60226
195,Zig-Zag Logo Hoodie - Black,2019-12-19T23:14:23-05:00,Apparel,44.99,True,60227
196,Zig-Zag 1879 T-Shirt - White,2019-12-23T15:31:58-05:00,Apparel,17.99,True,60241
197,Zig-Zag 1879 T-Shirt - White,2019-12-23T15:31:58-05:00,Apparel,17.99,True,60242
198,Zig-Zag 1879 T-Shirt - White,2019-12-23T15:31:58-05:00,Apparel,17.99,True,60243
199,Zig-Zag 1879 T-Shirt - White,2019-12-23T15:31:58-05:00,Apparel,17.99,True,60244
200,Zig-Zag 1879 T-Shirt - White,2019-12-23T15:31:58-05:00,Apparel,17.99,False,60245
201,Zig-Zag Hemp T-Shirt - Cream,2019-12-23T15:20:47-05:00,Apparel,17.99,False,60247
202,Zig-Zag Hemp T-Shirt - Cream,2019-12-23T15:20:47-05:00,Apparel,17.99,False,60248
203,Zig-Zag Hemp T-Shirt - Cream,2019-12-23T15:20:47-05:00,Apparel,17.99,False,60249
204,Zig-Zag Hemp T-Shirt - Cream,2019-12-23T15:20:47-05:00,Apparel,17.99,False,60250
205,Zig-Zag Hemp T-Shirt - Cream,2019-12-23T15:20:47-05:00,Apparel,17.99,True,60251
206,Zig-Zag Classic Hoodie - Black,2019-12-19T23:19:20-05:00,Apparel,44.99,True,60229
207,Zig-Zag Classic Hoodie - Black,2019-12-19T23:19:20-05:00,Apparel,44.99,True,60230
208,Zig-Zag Classic Hoodie - Black,2019-12-19T23:19:20-05:00,Apparel,44.99,True,60231
209,Zig-Zag Classic Hoodie - Black,2019-12-19T23:19:20-05:00,Apparel,44.99,True,60232
210,Zig-Zag Classic Hoodie - Black,2019-12-19T23:19:20-05:00,Apparel,44.99,True,60233
211,Ultra Thin Bundle,2020-01-02T19:09:56-05:00,Bundle,13.49,True,01778
212,Orange Bundle,2020-01-02T18:56:40-05:00,Bundle,12.15,True,01775
213,Cones Super Bundle,2020-01-02T18:51:45-05:00,Bundle,17.99,True,01776
214,Cones Starter Bundle,2020-01-02T18:48:58-05:00,Bundle,13.49,True,01773
215,OG Bundle,2020-01-02T17:23:49-05:00,Bundle,17.99,True,01771
216,Hemp Bundle,2020-01-02T17:01:50-05:00,Bundle,9.45,True,01770
217,Small Classic Rolling Tray,2019-12-23T17:27:06-05:00,Accessories,7.20,True,99101
218,Zig-Zag Logo Hat - Black & Gold,2019-11-26T21:08:55-05:00,Apparel,16.19,False,60280
219,Zig-Zag Classic Hat - Orange,2019-11-26T21:07:49-05:00,Apparel,16.19,False,60282
220,Zig-Zag Classic T-Shirt - Black,2019-11-26T21:05:18-05:00,Apparel,17.99,True,60214
